threads 12
hash size 16000
depth,time
1,2.653042793273926
2,2.5445425510406494
3,2.526527166366577
4,2.5295467376708984
5,2.528393507003784
6,2.5327248573303223
7,2.535329818725586
8,2.531806707382202
9,2.5321733951568604
10,2.5427803993225098
11,2.5754127502441406
12,2.570483922958374
13,2.58024001121521
14,2.624530553817749
15,2.672776699066162
16,2.742088794708252
17,2.8140032291412354
18,2.882683277130127
19,3.085468053817749
20,3.363185405731201
21,3.8149573802948
22,4.415916204452515
23,4.550265312194824
24,4.707804441452026
25,8.407886505126953
26,9.084984064102173
27,8.095508813858032
28,7.920856952667236
29,16.446107149124146
30,16.46115231513977
31,24.418762922286987
32,28.95579695701599
33,42.192973375320435
34,41.747292280197144
