threads 12
hash size 10
depth,time
1,0.05890774726867676
2,0.018949270248413086
3,0.019353151321411133
4,0.019994497299194336
5,0.019799232482910156
6,0.022786855697631836
7,0.02595233917236328
8,0.022943973541259766
9,0.023047924041748047
10,0.02827763557434082
11,0.032883405685424805
12,0.057956695556640625
13,0.07376861572265625
14,0.07630372047424316
15,0.14511966705322266
16,0.20345711708068848
17,0.24733901023864746
18,0.39294886589050293
19,0.5844559669494629
20,0.9305107593536377
21,0.5734665393829346
22,1.4770503044128418
23,3.0731513500213623
24,3.52717661857605
25,2.9310851097106934
26,6.358751058578491
27,5.843963384628296
28,9.504247665405273
29,11.426213026046753
30,12.140242338180542
31,21.462108373641968
32,26.245598316192627
33,21.584298133850098
34,31.551304817199707
